id,instance_no,reg_type,k_repetition,reg_value,loss
44,2.0,L2,4.0,0.0505,0.07752244730912966
45,2.0,L2,5.0,0.0505,-0.006856357009198649
46,2.0,L2,6.0,0.0505,0.18113846982809279
47,2.0,L2,7.0,0.0505,0.17308218749005022
48,2.0,L2,8.0,0.0505,0.2112158904852947
49,2.0,L2,9.0,0.0505,0.1199129214956999
50,2.0,L2,0.0,0.1,0.23829425845510013
51,2.0,L2,1.0,0.1,0.17904777718403062
52,2.0,L2,2.0,0.1,0.07455078354760536
53,2.0,L2,3.0,0.1,0.24399128586175786
54,2.0,L2,4.0,0.1,0.2625449569406873
55,2.0,L2,5.0,0.1,0.222685307631387
56,2.0,L2,6.0,0.1,0.11643241218945506
57,2.0,L2,7.0,0.1,0.18421498391270671
58,2.0,L2,8.0,0.1,0.1908035630203523
59,2.0,L2,9.0,0.1,0.32351698248131644
60,3.0,L2,0.0,0.001,0.028448453615463994
61,3.0,L2,1.0,0.001,-0.026308346493540843
62,3.0,L2,2.0,0.001,0.06317147551227119
63,3.0,L2,3.0,0.001,-0.04821883265326658
64,3.0,L2,4.0,0.001,-0.13343973647667345
65,3.0,L2,5.0,0.001,0.04635582305893542
66,3.0,L2,6.0,0.001,-0.053660378593033686
67,3.0,L2,7.0,0.001,0.1023420073013684
68,3.0,L2,8.0,0.001,-0.20382274571620568
69,3.0,L2,9.0,0.001,0.18469602457676199
70,3.0,L2,0.0,0.0505,0.14396442716202518
71,3.0,L2,1.0,0.0505,0.23704834170632533
72,3.0,L2,2.0,0.0505,0.07963316442122964
73,3.0,L2,3.0,0.0505,0.008172082903359218
74,3.0,L2,4.0,0.0505,0.09974529458170558
75,3.0,L2,5.0,0.0505,-0.10945403333067243
76,3.0,L2,6.0,0.0505,0.19100869305867257
77,3.0,L2,7.0,0.0505,0.06693172489646963
78,3.0,L2,8.0,0.0505,0.16841269612243387
79,3.0,L2,9.0,0.0505,0.02969645931392738
80,4.0,L2,0.0,0.1,0.23244530219464005
81,4.0,L2,1.0,0.1,0.11386069735339811
82,4.0,L2,2.0,0.1,0.08566405696251797
83,4.0,L2,3.0,0.1,-0.008021465489051749
84,4.0,L2,4.0,0.1,0.02732095348472338
85,4.0,L2,5.0,0.1,0.1046778041924973
86,4.0,L2,6.0,0.1,0.11810127872003195
87,4.0,L2,7.0,0.1,0.3231578624752479
88,4.0,L2,8.0,0.1,0.20112353775042896
89,4.0,L2,9.0,0.1,0.21274114998312693
90,4.0,L2,0.0,0.001,-0.07599621433997761
91,4.0,L2,1.0,0.001,-0.053057805115101025
92,4.0,L2,2.0,0.001,0.1628232631892593
93,4.0,L2,3.0,0.001,0.06994840831881717
94,4.0,L2,4.0,0.001,0.08216251485595102
95,4.0,L2,5.0,0.001,-0.20081513884835503
96,4.0,L2,6.0,0.001,-0.0364780201615387
97,4.0,L2,7.0,0.001,0.03983097445182965
98,4.0,L2,8.0,0.001,0.19043000884628372
99,4.0,L2,9.0,0.001,0.02949601362550614
100,5.0,L2,0.0,0.0505,-0.0022692979019320603
101,5.0,L2,1.0,0.0505,0.07906388171213985
102,5.0,L2,2.0,0.0505,0.0734534672052431
103,5.0,L2,3.0,0.0505,0.026486860547770608
104,5.0,L2,4.0,0.0505,-0.014959058596932431
105,5.0,L2,5.0,0.0505,0.08639336332535807
106,5.0,L2,6.0,0.0505,-0.06039939300666601
107,5.0,L2,7.0,0.0505,0.0068283863932699605
108,5.0,L2,8.0,0.0505,-0.3430888837587445
109,5.0,L2,9.0,0.0505,-0.14078299759825724
110,5.0,L2,0.0,0.1,0.10724819120504914
111,5.0,L2,1.0,0.1,0.12547266224046671
112,5.0,L2,2.0,0.1,0.1547305846306804
113,5.0,L2,3.0,0.1,0.1479745681079022
114,5.0,L2,4.0,0.1,0.0020582847965215506
115,5.0,L2,5.0,0.1,-0.040260699892546825
116,5.0,L2,6.0,0.1,0.11831199136099749
117,5.0,L2,7.0,0.1,0.08929478964117435
118,5.0,L2,8.0,0.1,0.14626158632912498
119,5.0,L2,9.0,0.1,0.12245008198076543
120,6.0,L2,0.0,0.001,-0.017360578089021007
121,6.0,L2,1.0,0.001,0.0615719162950291
122,6.0,L2,2.0,0.001,0.06999831081842946
123,6.0,L2,3.0,0.001,0.09293121754048492
124,6.0,L2,4.0,0.001,0.1440119499496796
125,6.0,L2,5.0,0.001,0.030243482983856786
126,6.0,L2,6.0,0.001,-0.002098374363177916
127,6.0,L2,7.0,0.001,0.03309679340027334
128,6.0,L2,8.0,0.001,0.011612206637899586
129,6.0,L2,9.0,0.001,-0.10847161240356777
130,6.0,L2,0.0,0.0505,0.04764032440083769
131,6.0,L2,1.0,0.0505,-0.00784429340224908
132,6.0,L2,2.0,0.0505,0.04018797868777269
133,6.0,L2,3.0,0.0505,-0.03776173701244537
134,6.0,L2,4.0,0.0505,-0.12743838409965455
135,6.0,L2,5.0,0.0505,0.14457002154147308
136,6.0,L2,6.0,0.0505,0.02103743497745614
137,6.0,L2,7.0,0.0505,0.007578079843833189
138,6.0,L2,8.0,0.0505,0.11202665306455695
139,6.0,L2,9.0,0.0505,0.10523083352585423
140,7.0,L2,0.0,0.1,0.09817285630797865
141,7.0,L2,1.0,0.1,0.09674659144877956
142,7.0,L2,2.0,0.1,0.18848867641335715
143,7.0,L2,3.0,0.1,0.19781339612833454
144,7.0,L2,4.0,0.1,0.08196134759621179
145,7.0,L2,5.0,0.1,0.0004458773445587261
146,7.0,L2,6.0,0.1,0.24885178430065652
147,7.0,L2,7.0,0.1,-0.06284770262801348
148,7.0,L2,8.0,0.1,0.20553468538454728
149,7.0,L2,9.0,0.1,0.29070891983133484
150,7.0,L2,0.0,0.001,-0.27190673024369494
151,7.0,L2,1.0,0.001,0.10704573025565253
152,7.0,L2,2.0,0.001,0.09651968617188647
153,7.0,L2,3.0,0.001,0.01895654076711985
154,7.0,L2,4.0,0.001,-0.004390677421960637
155,7.0,L2,5.0,0.001,-0.0775792040624804
156,7.0,L2,6.0,0.001,0.04830274267008361
157,7.0,L2,7.0,0.001,0.052474532373758216
158,7.0,L2,8.0,0.001,-0.08982695712072482
159,7.0,L2,9.0,0.001,-0.027535849819926368
160,8.0,L2,0.0,0.0505,0.0690965035430912
161,8.0,L2,1.0,0.0505,-0.04982359803033114
162,8.0,L2,2.0,0.0505,0.19868317744866026
163,8.0,L2,3.0,0.0505,-0.05955263412206027
164,8.0,L2,4.0,0.0505,0.2893166897170025
165,8.0,L2,5.0,0.0505,-0.002837309053945497
166,8.0,L2,6.0,0.0505,0.12371135553619873
167,8.0,L2,7.0,0.0505,-0.06761582952276
168,8.0,L2,8.0,0.0505,0.14201708965967128
169,8.0,L2,9.0,0.0505,0.027914083613393984
170,8.0,L2,0.0,0.1,0.0013092576044522047
171,8.0,L2,1.0,0.1,0.09271312809366816
172,8.0,L2,2.0,0.1,-0.13130123504187047
173,8.0,L2,3.0,0.1,0.09642280552466649
174,8.0,L2,4.0,0.1,0.11093489031836062
175,8.0,L2,5.0,0.1,0.24807328798248512
176,8.0,L2,6.0,0.1,0.1387069854667895
177,8.0,L2,7.0,0.1,0.054859645422506896
178,8.0,L2,8.0,0.1,0.2526844708665502
179,8.0,L2,9.0,0.1,0.0065724693988971905
180,9.0,L2,0.0,0.001,-0.014183478929154702
181,9.0,L2,1.0,0.001,0.11308022085600661
182,9.0,L2,2.0,0.001,0.033614500257228536
183,9.0,L2,3.0,0.001,0.29503095615553215
184,9.0,L2,4.0,0.001,0.038791024732123564
185,9.0,L2,5.0,0.001,0.027575655868146327
186,9.0,L2,6.0,0.001,-0.05095942364712947
187,9.0,L2,7.0,0.001,0.12659342050580324
188,9.0,L2,8.0,0.001,0.04821289996112876
189,9.0,L2,9.0,0.001,-0.04369796764243507
190,9.0,L2,0.0,0.0505,-0.09644654718129121
191,9.0,L2,1.0,0.0505,0.08527060798709972
192,9.0,L2,2.0,0.0505,0.0016984458566097274
193,9.0,L2,3.0,0.0505,-0.11130713668316286
194,9.0,L2,4.0,0.0505,0.03666335848370782
195,9.0,L2,5.0,0.0505,-0.07061553723326987
196,9.0,L2,6.0,0.0505,-0.06429822784881538
197,9.0,L2,7.0,0.0505,-0.019213889972007677
198,9.0,L2,8.0,0.0505,0.06513968204662506
199,9.0,L2,9.0,0.0505,0.13423944058870296
200,10.0,L2,0.0,0.1,0.16894258596450124
201,10.0,L2,1.0,0.1,-0.06497509145170245
202,10.0,L2,2.0,0.1,0.20152662622758769
203,10.0,L2,3.0,0.1,0.15386889970698645
204,10.0,L2,4.0,0.1,0.05156993336350589
205,10.0,L2,5.0,0.1,0.10648222605380872
206,10.0,L2,6.0,0.1,0.03667278971080082
207,10.0,L2,7.0,0.1,0.07249458271470001
208,10.0,L2,8.0,0.1,0.0836154509908022
209,10.0,L2,9.0,0.1,0.19136004494865505
210,10.0,L2,0.0,0.001,-0.013177162908732762
211,10.0,L2,1.0,0.001,-0.09565083792819883
212,10.0,L2,2.0,0.001,-0.042582708485744504
213,10.0,L2,3.0,0.001,-0.04073895200938009
214,10.0,L2,4.0,0.001,-0.0606476606823725
215,10.0,L2,5.0,0.001,0.023504267843150527
216,10.0,L2,6.0,0.001,-0.006793271937397332
217,10.0,L2,7.0,0.001,-0.024172428666599147
218,10.0,L2,8.0,0.001,-0.026455978231162306
219,10.0,L2,9.0,0.001,-0.23583766527911104
220,11.0,L2,0.0,0.0505,0.04971954496568246
221,11.0,L2,1.0,0.0505,-0.02968554650530328
222,11.0,L2,2.0,0.0505,-0.04828020798426573
223,11.0,L2,3.0,0.0505,-0.04108601605522032
224,11.0,L2,4.0,0.0505,0.028851436792424176
225,11.0,L2,5.0,0.0505,0.027657586028784785
226,11.0,L2,6.0,0.0505,0.10891312236042049
227,11.0,L2,7.0,0.0505,0.14396507990915441
228,11.0,L2,8.0,0.0505,0.23461931226897015
229,11.0,L2,9.0,0.0505,0.15797469671281972
230,11.0,L2,0.0,0.1,0.233331908046154
231,11.0,L2,1.0,0.1,0.13243115703014302
232,11.0,L2,2.0,0.1,0.13921750217112544
233,11.0,L2,3.0,0.1,0.12068755722120503
234,11.0,L2,4.0,0.1,0.12825066338682867
235,11.0,L2,5.0,0.1,0.2935923890307098
236,11.0,L2,6.0,0.1,0.025499937998609196
237,11.0,L2,7.0,0.1,0.14829063977939297
238,11.0,L2,8.0,0.1,0.1460679134082108
239,11.0,L2,9.0,0.1,-0.09380122538546197
240,12.0,L2,0.0,0.001,-0.032805330930708525
241,12.0,L2,1.0,0.001,-0.05836451436511057
242,12.0,L2,2.0,0.001,0.08528817116888054
243,12.0,L2,3.0,0.001,-0.05716292530860275
244,12.0,L2,4.0,0.001,-0.001869463684954236
245,12.0,L2,5.0,0.001,0.06472542412083039
246,12.0,L2,6.0,0.001,-0.10800134573423945
247,12.0,L2,7.0,0.001,-0.05977347906362726
248,12.0,L2,8.0,0.001,0.019380096286828005
249,12.0,L2,9.0,0.001,-0.11788724062682612
250,12.0,L2,0.0,0.0505,-0.13271421157052513
251,12.0,L2,1.0,0.0505,-0.028820563397359215
252,12.0,L2,2.0,0.0505,0.06143680088237642
253,12.0,L2,3.0,0.0505,0.14917309016493563
254,12.0,L2,4.0,0.0505,0.099393366826725
255,12.0,L2,5.0,0.0505,0.16041523165875876
256,12.0,L2,6.0,0.0505,-0.02048352777781904
257,12.0,L2,7.0,0.0505,0.08438719074875342
258,12.0,L2,8.0,0.0505,0.08231627129154709
259,12.0,L2,9.0,0.0505,0.17914577062577222
260,13.0,L2,0.0,0.1,-0.10557719675836925
261,13.0,L2,1.0,0.1,0.10794057439377862
262,13.0,L2,2.0,0.1,0.06304635481298329
263,13.0,L2,3.0,0.1,0.11959268362225632
264,13.0,L2,4.0,0.1,0.09816332317939966
265,13.0,L2,5.0,0.1,0.034439460119391294
266,13.0,L2,6.0,0.1,0.21273877557156406
267,13.0,L2,7.0,0.1,0.12908165724155318
268,13.0,L2,8.0,0.1,0.18362088899943785
269,13.0,L2,9.0,0.1,0.04409566769358191
270,13.0,L2,0.0,0.001,0.04254734730812775
271,13.0,L2,1.0,0.001,-0.04671899019472265
272,13.0,L2,2.0,0.001,0.020477219414182204
273,13.0,L2,3.0,0.001,0.13580795111800614
274,13.0,L2,4.0,0.001,-0.004692629915339286
275,13.0,L2,5.0,0.001,-0.033412798956132736
276,13.0,L2,6.0,0.001,0.18549611236748245
277,13.0,L2,7.0,0.001,-0.2388625542501996
278,13.0,L2,8.0,0.001,-0.009054901525198798
279,13.0,L2,9.0,0.001,-0.043672981791454485
280,14.0,L2,0.0,0.0505,-0.14002424808967234
281,14.0,L2,1.0,0.0505,-0.23440280539638716
282,14.0,L2,2.0,0.0505,0.017231055767291656
283,14.0,L2,3.0,0.0505,0.09250180856037679
284,14.0,L2,4.0,0.0505,0.018958128721477546
285,14.0,L2,5.0,0.0505,0.2212341623835802
286,14.0,L2,6.0,0.0505,-0.08776852883971997
287,14.0,L2,7.0,0.0505,-0.13844031845769297
288,14.0,L2,8.0,0.0505,0.02778814249461012
289,14.0,L2,9.0,0.0505,-0.049038523509056235
290,14.0,L2,0.0,0.1,0.07914443419550819
291,14.0,L2,1.0,0.1,0.15045687397916585
292,14.0,L2,2.0,0.1,0.029837310170208076
293,14.0,L2,3.0,0.1,0.08708808295854772
294,14.0,L2,4.0,0.1,0.04025743785672719
295,14.0,L2,5.0,0.1,0.07519682762380983
296,14.0,L2,6.0,0.1,0.06277456598573494
297,14.0,L2,7.0,0.1,0.21927349040255678
298,14.0,L2,8.0,0.1,0.042562399744171905
299,14.0,L2,9.0,0.1,0.08225089869865139
300,15.0,L2,0.0,0.001,-0.12371353476702232
301,15.0,L2,1.0,0.001,0.036880416279979025
302,15.0,L2,2.0,0.001,0.004646321765230922
303,15.0,L2,3.0,0.001,0.14187735644053048
304,15.0,L2,4.0,0.001,0.023662058145440316
305,15.0,L2,5.0,0.001,0.07000256215110291
306,15.0,L2,6.0,0.001,-0.059704332017547705
307,15.0,L2,7.0,0.001,-0.008215699890260563
308,15.0,L2,8.0,0.001,0.1613866825796857
309,15.0,L2,9.0,0.001,-0.1650471524811432
310,15.0,L2,0.0,0.0505,0.18692339487214163
311,15.0,L2,1.0,0.0505,0.03180747396511167
312,15.0,L2,2.0,0.0505,0.11200015485444179
313,15.0,L2,3.0,0.0505,-0.11005424758176721
314,15.0,L2,4.0,0.0505,0.019851691986402395
315,15.0,L2,5.0,0.0505,-0.07335019990044167
316,15.0,L2,6.0,0.0505,0.06459082254064102
317,15.0,L2,7.0,0.0505,0.257553350772629
318,15.0,L2,8.0,0.0505,-0.0029100949107658015
319,15.0,L2,9.0,0.0505,-0.08016008964649624
320,16.0,L2,0.0,0.1,-0.02810213802342293
321,16.0,L2,1.0,0.1,-0.0500499831346877
322,16.0,L2,2.0,0.1,0.08265188685352451
323,16.0,L2,3.0,0.1,0.03128643394220862
324,16.0,L2,4.0,0.1,0.11938097446101527
325,16.0,L2,5.0,0.1,0.18321201145512883
326,16.0,L2,6.0,0.1,0.007371313075239083
327,16.0,L2,7.0,0.1,0.11894519287474115
328,16.0,L2,8.0,0.1,0.06282609795716498
329,16.0,L2,9.0,0.1,0.11086467550946107
330,16.0,L2,0.0,0.001,0.01952526045756077
331,16.0,L2,1.0,0.001,-9.320306458869535e-05
332,16.0,L2,2.0,0.001,0.0048301653283934305
333,16.0,L2,3.0,0.001,0.017293262005972594
334,16.0,L2,4.0,0.001,0.09177678650779972
335,16.0,L2,5.0,0.001,0.029970860575887052
336,16.0,L2,6.0,0.001,-0.15165718915059037
337,16.0,L2,7.0,0.001,-0.20176909529260753
338,16.0,L2,8.0,0.001,0.007444322318646547
339,16.0,L2,9.0,0.001,0.011613116964046676
340,17.0,L2,0.0,0.0505,0.24895978278805703
341,17.0,L2,1.0,0.0505,-0.07563412608216341
342,17.0,L2,2.0,0.0505,0.04874003194441778
343,17.0,L2,3.0,0.0505,0.08662847417916492
344,17.0,L2,4.0,0.0505,0.12156445705505184
345,17.0,L2,5.0,0.0505,0.028801478648190538
346,17.0,L2,6.0,0.0505,-0.005919049514518018
347,17.0,L2,7.0,0.0505,-0.0680829449425806
348,17.0,L2,8.0,0.0505,0.1202948029099486
349,17.0,L2,9.0,0.0505,-0.044044518922328774
350,17.0,L2,0.0,0.1,0.0767991859986707
351,17.0,L2,1.0,0.1,0.05453928886909361
352,17.0,L2,2.0,0.1,0.14072374635758458
353,17.0,L2,3.0,0.1,0.17352097318655751
354,17.0,L2,4.0,0.1,0.05537630514261693
355,17.0,L2,5.0,0.1,0.0952884188257407
356,17.0,L2,6.0,0.1,0.11310200462851983
357,17.0,L2,7.0,0.1,0.09439144832090693
358,17.0,L2,8.0,0.1,0.0021133049641606366
359,17.0,L2,9.0,0.1,0.09754123941813599
360,18.0,L2,0.0,0.001,-0.05418615254445831
361,18.0,L2,1.0,0.001,0.11702309687943896
362,18.0,L2,2.0,0.001,0.11929720360092183
363,18.0,L2,3.0,0.001,-0.03060290847733553
364,18.0,L2,4.0,0.001,0.007564441324991723
365,18.0,L2,5.0,0.001,-0.1312620274953951
366,18.0,L2,6.0,0.001,0.019917116188447256
367,18.0,L2,7.0,0.001,-0.005908139172767727
368,18.0,L2,8.0,0.001,-0.006369722250510577
369,18.0,L2,9.0,0.001,0.011998278478532397
370,18.0,L2,0.0,0.0505,-0.06594839147875223
371,18.0,L2,1.0,0.0505,0.2522111782300155
372,18.0,L2,2.0,0.0505,0.23896844836693953
373,18.0,L2,3.0,0.0505,0.020657777076400905
374,18.0,L2,4.0,0.0505,0.12320961537803697
375,18.0,L2,5.0,0.0505,0.12102419952782956
376,18.0,L2,6.0,0.0505,-0.05332417244517611
377,18.0,L2,7.0,0.0505,-0.060144583104018656
378,18.0,L2,8.0,0.0505,-0.0839653452279505
379,18.0,L2,9.0,0.0505,0.08306347525950589
380,19.0,L2,0.0,0.1,0.03297085775145432
381,19.0,L2,1.0,0.1,0.15085795523230472
382,19.0,L2,2.0,0.1,-0.09270447862574391
383,19.0,L2,3.0,0.1,0.0007767440461206865
384,19.0,L2,4.0,0.1,0.004537024775341819
385,19.0,L2,5.0,0.1,0.005212427622301133
386,19.0,L2,6.0,0.1,0.16650345552878934
387,19.0,L2,7.0,0.1,0.17927264453288658
388,19.0,L2,8.0,0.1,0.15671948076030906
389,19.0,L2,9.0,0.1,0.18299273184977297
390,19.0,L2,0.0,0.001,0.1710229612797117
391,19.0,L2,1.0,0.001,-0.031019119550423753
392,19.0,L2,2.0,0.001,-0.05623577537947482
393,19.0,L2,3.0,0.001,-0.05867378496043375
394,19.0,L2,4.0,0.001,0.03256751665350883
395,19.0,L2,5.0,0.001,0.25496417300712115
396,19.0,L2,6.0,0.001,0.10270758004270236
397,19.0,L2,7.0,0.001,-0.15253227376704961
398,19.0,L2,8.0,0.001,0.22954204767084088
399,19.0,L2,9.0,0.001,-0.019156231645649426
400,0.0,L2,0.0,0.0505,1.0992358259905641
401,0.0,L2,1.0,0.0505,0.8902210812272904
402,0.0,L2,2.0,0.0505,1.0206993593184697
403,0.0,L2,3.0,0.0505,1.0750298821040054
404,0.0,L2,4.0,0.0505,1.0043472954163999
405,0.0,L2,5.0,0.0505,1.0867246763197744
406,0.0,L2,6.0,0.0505,1.0398624846391655
407,0.0,L2,7.0,0.0505,1.0501580818385523
408,0.0,L2,8.0,0.0505,1.1514344869366944
409,0.0,L2,9.0,0.0505,1.0053773710558758
410,0.0,L2,0.0,0.1,1.2286739679284329
411,0.0,L2,1.0,0.1,1.1871200618106443
412,0.0,L2,2.0,0.1,0.8377368975279766
413,0.0,L2,3.0,0.1,1.2186265995853802
414,0.0,L2,4.0,0.1,1.0379897959827988
415,0.0,L2,5.0,0.1,0.9697992993852594
416,0.0,L2,6.0,0.1,1.1392586088201804
417,0.0,L2,7.0,0.1,1.0862512596763454
418,0.0,L2,8.0,0.1,0.9136052698810817
419,0.0,L2,9.0,0.1,0.9467815417328868
420,1.0,L2,0.0,0.001,0.5149802329143083
421,1.0,L2,1.0,0.001,0.45152181171661343
422,1.0,L2,2.0,0.001,0.3881087720651678
423,1.0,L2,3.0,0.001,0.3076796614049391
424,1.0,L2,4.0,0.001,0.423511099524854
425,1.0,L2,5.0,0.001,0.44375072927268333
426,1.0,L2,6.0,0.001,0.33046329815522874
427,1.0,L2,7.0,0.001,0.304511826429576
428,1.0,L2,8.0,0.001,0.37433777232895094
429,1.0,L2,9.0,0.001,0.3653235074832854
430,1.0,L2,0.0,0.0505,0.29706445615103866
431,1.0,L2,1.0,0.0505,0.3193970941429587
432,1.0,L2,2.0,0.0505,0.5333440580935093
433,1.0,L2,3.0,0.0505,0.38904364715550277
434,1.0,L2,4.0,0.0505,0.46408146480416457
435,1.0,L2,5.0,0.0505,0.2908003716858327
436,1.0,L2,6.0,0.0505,0.520037089990786
437,1.0,L2,7.0,0.0505,0.39127251994512574
438,1.0,L2,8.0,0.0505,0.34145355616488143
439,1.0,L2,9.0,0.0505,0.19621281724647965
440,2.0,L2,0.0,0.1,0.23510897957020058
441,2.0,L2,1.0,0.1,0.0918630784789429
442,2.0,L2,2.0,0.1,0.10306124931820551
443,2.0,L2,3.0,0.1,0.23553644614080604
444,2.0,L2,4.0,0.1,0.3072418148579472
445,2.0,L2,5.0,0.1,0.19024496368142757
446,2.0,L2,6.0,0.1,0.27718329517345053
447,2.0,L2,7.0,0.1,0.19367834581685334
448,2.0,L2,8.0,0.1,0.1343120339179707
449,2.0,L2,9.0,0.1,0.16164701353777672
450,2.0,L2,0.0,0.001,0.20902825013433715
451,2.0,L2,1.0,0.001,0.2307460200929356
452,2.0,L2,2.0,0.001,0.09763158756088447
453,2.0,L2,3.0,0.001,0.20389564705105023
454,2.0,L2,4.0,0.001,0.17257702224277574
455,2.0,L2,5.0,0.001,0.12423164541911202
456,2.0,L2,6.0,0.001,0.194468649122207
457,2.0,L2,7.0,0.001,0.12767587646310702
458,2.0,L2,8.0,0.001,0.17201191449403186
459,2.0,L2,9.0,0.001,-0.002575132860244189
460,3.0,L2,0.0,0.0505,0.05781551116282755
461,3.0,L2,1.0,0.0505,0.1851496730955689
462,3.0,L2,2.0,0.0505,0.05634297024104198
463,3.0,L2,3.0,0.0505,0.22963486605434646
464,3.0,L2,4.0,0.0505,0.10622614011286034
465,3.0,L2,5.0,0.0505,0.026739147148535924
466,3.0,L2,6.0,0.0505,0.07405798536331767
467,3.0,L2,7.0,0.0505,0.02819409979913847
468,3.0,L2,8.0,0.0505,-0.04673101465872419
469,3.0,L2,9.0,0.0505,-0.04757602126068433
470,3.0,L2,0.0,0.1,0.1056534317539747
471,3.0,L2,1.0,0.1,0.05269796237199563
472,3.0,L2,2.0,0.1,0.11204884829889852
473,3.0,L2,3.0,0.1,0.08470034159888233
474,3.0,L2,4.0,0.1,0.3058200081357573
475,3.0,L2,5.0,0.1,-0.07809384564418498
476,3.0,L2,6.0,0.1,-0.030413825749768225
477,3.0,L2,7.0,0.1,0.23156069044712055
478,3.0,L2,8.0,0.1,0.13057516725266047
479,3.0,L2,9.0,0.1,0.013703370413231275
480,4.0,L2,0.0,0.001,0.07040350465022326
481,4.0,L2,1.0,0.001,-0.05450651373313824
482,4.0,L2,2.0,0.001,-0.011958681977942542
483,4.0,L2,3.0,0.001,0.07116386027622029
484,4.0,L2,4.0,0.001,-0.0482875265490635
485,4.0,L2,5.0,0.001,0.009817754711883038
486,4.0,L2,6.0,0.001,0.09895453759586934
487,4.0,L2,7.0,0.001,0.12326273387165339
488,4.0,L2,8.0,0.001,0.009995918333851895
489,4.0,L2,9.0,0.001,-0.05215733780220247
490,4.0,L2,0.0,0.0505,-0.14218235801817478
491,4.0,L2,1.0,0.0505,0.08096079239002563
492,4.0,L2,2.0,0.0505,0.044229340148740644
493,4.0,L2,3.0,0.0505,-0.12658810056747327
494,4.0,L2,4.0,0.0505,0.1153610115798662
495,4.0,L2,5.0,0.0505,0.02303223957236012
496,4.0,L2,6.0,0.0505,0.13369405718865182
497,4.0,L2,7.0,0.0505,0.2275782048033302
498,4.0,L2,8.0,0.0505,-0.020039694552338776
499,4.0,L2,9.0,0.0505,-0.006107591474320412
500,5.0,L2,0.0,0.1,0.17479957894085046
501,5.0,L2,1.0,0.1,0.0016469937545842556
502,5.0,L2,2.0,0.1,-0.2122362857590597
503,5.0,L2,3.0,0.1,0.08278816245861206
504,5.0,L2,4.0,0.1,0.19308898764239946
505,5.0,L2,5.0,0.1,0.16500373055432818
506,5.0,L2,6.0,0.1,0.0833631148955884
507,5.0,L2,7.0,0.1,0.30894724646691174
508,5.0,L2,8.0,0.1,0.08467969150111823
509,5.0,L2,9.0,0.1,0.15399083047442727
510,5.0,L2,0.0,0.001,-0.11423798292753203
511,5.0,L2,1.0,0.001,0.0866551621483804
512,5.0,L2,2.0,0.001,-0.04152627564069824
513,5.0,L2,3.0,0.001,-0.006805676094282833
514,5.0,L2,4.0,0.001,0.018761618981930864
515,5.0,L2,5.0,0.001,-0.12214254177184443
516,5.0,L2,6.0,0.001,0.0726863518031193
517,5.0,L2,7.0,0.001,0.03833080140522335
518,5.0,L2,8.0,0.001,-0.0933402004713232
519,5.0,L2,9.0,0.001,0.08841022870115298
520,6.0,L2,0.0,0.0505,-0.010447671270085553
521,6.0,L2,1.0,0.0505,-0.07571272805029816
522,6.0,L2,2.0,0.0505,-0.13988885912144036
523,6.0,L2,3.0,0.0505,-0.05358288258926813
